city,station_name,median_household_income_census_block,bucket
Chicago,Cottage Grove Ave & 71st St,31440,2
Chicago,Jeffery Blvd & 71st St,31493,2
Chicago,California Ave & 23rd Pl,31607,2
Chicago,Homan Ave & 65th St,32121,2
Chicago,Nordica & Medill,32576,2
Chicago,Emerald Ave & 28th St,32632,2
Chicago,Prairie Ave & 43rd St,33015,2
Chicago,Kostner Ave & Adams St,33026,2
Chicago,Cornell Dr & Hayes Dr,33028,2
Chicago,Stony Island Ave & 67th St,33028,2
Chicago,Stony Island Ave & 64th St,33028,2
Chicago,Loomis St & Archer Ave,33306,2
Chicago,Shields Ave & 31st St,33333,2
Chicago,Shields Ave & 28th Pl,33333,2
Chicago,Ashland Ave & 66th St,33571,2
Chicago,S Michigan Ave & E 118th St,33712,2
Chicago,Ellis Ave & 83rd St,33966,2
Chicago,South Shore Dr & 67th St,34079,2
Chicago,Pulaski Rd & 21st St,34107,2
Chicago,Cottage Grove Ave & 43rd St,34327,2
Chicago,Richmond St & 59th St,34331,2
Chicago,Austin Blvd & Chicago Ave,34412,2
Chicago,Marine Dr & Ainslie St,34508,2
Chicago,Cottage Grove Ave & 51st St,34622,2
Chicago,Ashland Ave & Pershing Rd,34674,2
Chicago,Wells St & Elm St,34732,2
Chicago,Karlov Ave & Madison St,35192,2
Chicago,Pulaski Rd & Lake St,35192,2
Chicago,Sacramento Ave & Pershing Rd,35208,2
Chicago,Spaulding Ave & 16th St,35658,2
Chicago,Wells St & 19th St,35723,2
Chicago,Wentworth Ave & Cermak Rd,35723,2
Chicago,Sheridan Rd & Columbia Ave,35795,2
Chicago,Baltimore Ave & 87th St,35809,2
Chicago,Commercial Ave & 83rd St,35809,2
Chicago,Central Park Ave & 24th St,36080,2
Chicago,Kedzie Ave & Bryn Mawr Ave,36126,2
Chicago,Kedzie Ave & Harrison St,36167,2
Chicago,Kedzie Ave & Milwaukee Ave,36370,2
Chicago,Lake Park Ave & 53rd St,36406,2
Chicago,California Ave & Byron St,36477,2
Chicago,Jeffery Blvd & 67th St,36563,2
Chicago,Loomis Blvd & 84th St,36679,2
Chicago,Ellis Ave & 60th St,36719,2
Chicago,Lawndale Ave & 16th St,36898,2
Chicago,Evans Ave & 75th St,37018,2
Chicago,Harding Ave & 26th St,37114,2
Chicago,Long Ave & North Ave,37194,2
Chicago,Clark St & Touhy Ave,37457,2
